Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Respiratory arrest,R09.2,All ages,3422,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,21,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,52,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,123,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,304,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,759,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,1267,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,1600,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,1845,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All ages,5971,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,16,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,104,
