Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
8/30/2020,2/1/2020,8/29/2020,AR,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All ages,22,
8/30/2020,2/1/2020,8/29/2020,AR,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AR,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AR,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,11,
8/30/2020,2/1/2020,8/29/2020,AR,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,21,
8/30/2020,2/1/2020,8/29/2020,AR,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,51,
8/30/2020,2/1/2020,8/29/2020,AR,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,69,
8/30/2020,2/1/2020,8/29/2020,AR,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",75-84,97,
8/30/2020,2/1/2020,8/29/2020,AR,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",85+,99,
8/30/2020,2/1/2020,8/29/2020,AR,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",Not stated,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AR,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All ages,357,
8/30/2020,2/1/2020,8/29/2020,AR,Coronavirus Disease 2019,COVID-19,U071,0-24,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AR,Coronavirus Disease 2019,COVID-19,U071,25-34,15,
8/30/2020,2/1/2020,8/29/2020,AR,Coronavirus Disease 2019,COVID-19,U071,35-44,21,
8/30/2020,2/1/2020,8/29/2020,AR,Coronavirus Disease 2019,COVID-19,U071,45-54,49,
8/30/2020,2/1/2020,8/29/2020,AR,Coronavirus Disease 2019,COVID-19,U071,55-64,121,
8/30/2020,2/1/2020,8/29/2020,AR,Coronavirus Disease 2019,COVID-19,U071,65-74,145,
8/30/2020,2/1/2020,8/29/2020,AR,Coronavirus Disease 2019,COVID-19,U071,75-84,202,
8/30/2020,2/1/2020,8/29/2020,AR,Coronavirus Disease 2019,COVID-19,U071,85+,214,
8/30/2020,2/1/2020,8/29/2020,AR,Coronavirus Disease 2019,COVID-19,U071,Not stated,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AR,Coronavirus Disease 2019,COVID-19,U071,All ages,769,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,13,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,38,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,78,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,180,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,408,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,599,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,651,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,483,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,All ages,2450,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,10,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,37,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,79,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,116,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,85,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All ages,335,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,14,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,31,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,60,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,145,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,182,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,172,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,116,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Adult respiratory distress syndrome,J80,All ages,724,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Respiratory failure,J96,0-24,10,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Respiratory failure,J96,25-34,26,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Respiratory failure,J96,35-44,47,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Respiratory failure,J96,45-54,139,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Respiratory failure,J96,55-64,328,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Respiratory failure,J96,65-74,471,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Respiratory failure,J96,75-84,559,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Respiratory failure,J96,85+,450,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Respiratory failure,J96,Not stated,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Respiratory failure,J96,All ages,2030,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Respiratory arrest,R09.2,0-24,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Respiratory arrest,R09.2,25-34,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Respiratory arrest,R09.2,35-44,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Respiratory arrest,R09.2,45-54,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Respiratory arrest,R09.2,55-64,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Respiratory arrest,R09.2,65-74,19,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Respiratory arrest,R09.2,75-84,35,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Respiratory arrest,R09.2,85+,36,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Respiratory arrest,R09.2,Not stated,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Respiratory arrest,R09.2,All ages,106,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,13,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,17,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,31,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,32,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,38,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,34,
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All ages,170,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,10,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,39,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,83,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,130,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,185,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Hypertensive diseases,I10-I15,85+,154,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Hypertensive diseases,I10-I15,All ages,604,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,36,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,67,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,118,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Ischemic heart disease,I20-I25,85+,104,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Ischemic heart disease,I20-I25,All ages,334,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cardiac arrest,I46,0-24,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cardiac arrest,I46,25-34,17,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cardiac arrest,I46,35-44,16,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cardiac arrest,I46,45-54,45,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cardiac arrest,I46,55-64,64,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cardiac arrest,I46,65-74,109,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cardiac arrest,I46,75-84,133,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cardiac arrest,I46,85+,85,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cardiac arrest,I46,Not stated,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cardiac arrest,I46,All ages,476,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,25,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,41,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,74,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,78,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All ages,232,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Heart failure,I50,0-24,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Heart failure,I50,25-34,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Heart failure,I50,35-44,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Heart failure,I50,45-54,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Heart failure,I50,55-64,33,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Heart failure,I50,65-74,37,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Heart failure,I50,75-84,72,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Heart failure,I50,85+,87,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Heart failure,I50,Not stated,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Heart failure,I50,All ages,245,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,20,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,35,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,44,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,40,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Cerebrovascular diseases,I60-I69,All ages,150,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,18,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,53,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,67,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,73,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,54,
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All ages,282,
8/30/2020,2/1/2020,8/29/2020,AZ,Sepsis,Sepsis,A40-A41,0-24,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Sepsis,Sepsis,A40-A41,25-34,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Sepsis,Sepsis,A40-A41,35-44,12,
8/30/2020,2/1/2020,8/29/2020,AZ,Sepsis,Sepsis,A40-A41,45-54,31,
8/30/2020,2/1/2020,8/29/2020,AZ,Sepsis,Sepsis,A40-A41,55-64,69,
8/30/2020,2/1/2020,8/29/2020,AZ,Sepsis,Sepsis,A40-A41,65-74,103,
8/30/2020,2/1/2020,8/29/2020,AZ,Sepsis,Sepsis,A40-A41,75-84,56,
8/30/2020,2/1/2020,8/29/2020,AZ,Sepsis,Sepsis,A40-A41,85+,37,
8/30/2020,2/1/2020,8/29/2020,AZ,Sepsis,Sepsis,A40-A41,Not stated,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Sepsis,Sepsis,A40-A41,All ages,317,
8/30/2020,2/1/2020,8/29/2020,AZ,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,23,
8/30/2020,2/1/2020,8/29/2020,AZ,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,38,
8/30/2020,2/1/2020,8/29/2020,AZ,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,53,
8/30/2020,2/1/2020,8/29/2020,AZ,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,33,
8/30/2020,2/1/2020,8/29/2020,AZ,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Malignant neoplasms,Malignant neoplasms,C00-C97,All ages,157,
8/30/2020,2/1/2020,8/29/2020,AZ,Diabetes,Diabetes,E10-E14,0-24,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Diabetes,Diabetes,E10-E14,25-34,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Diabetes,Diabetes,E10-E14,35-44,18,
8/30/2020,2/1/2020,8/29/2020,AZ,Diabetes,Diabetes,E10-E14,45-54,69,
8/30/2020,2/1/2020,8/29/2020,AZ,Diabetes,Diabetes,E10-E14,55-64,143,
8/30/2020,2/1/2020,8/29/2020,AZ,Diabetes,Diabetes,E10-E14,65-74,164,
8/30/2020,2/1/2020,8/29/2020,AZ,Diabetes,Diabetes,E10-E14,75-84,152,
8/30/2020,2/1/2020,8/29/2020,AZ,Diabetes,Diabetes,E10-E14,85+,93,
8/30/2020,2/1/2020,8/29/2020,AZ,Diabetes,Diabetes,E10-E14,Not stated,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Diabetes,Diabetes,E10-E14,All ages,652,
8/30/2020,2/1/2020,8/29/2020,AZ,Obesity,Obesity,E65-E68,0-24,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Obesity,Obesity,E65-E68,25-34,15,
8/30/2020,2/1/2020,8/29/2020,AZ,Obesity,Obesity,E65-E68,35-44,40,
8/30/2020,2/1/2020,8/29/2020,AZ,Obesity,Obesity,E65-E68,45-54,40,
8/30/2020,2/1/2020,8/29/2020,AZ,Obesity,Obesity,E65-E68,55-64,60,
8/30/2020,2/1/2020,8/29/2020,AZ,Obesity,Obesity,E65-E68,65-74,46,
8/30/2020,2/1/2020,8/29/2020,AZ,Obesity,Obesity,E65-E68,75-84,21,
8/30/2020,2/1/2020,8/29/2020,AZ,Obesity,Obesity,E65-E68,85+,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Obesity,Obesity,E65-E68,Not stated,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Obesity,Obesity,E65-E68,All ages,231,
8/30/2020,2/1/2020,8/29/2020,AZ,Alzheimer disease,Alzheimer disease,G30,0-24,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Alzheimer disease,Alzheimer disease,G30,25-34,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Alzheimer disease,Alzheimer disease,G30,35-44,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Alzheimer disease,Alzheimer disease,G30,45-54,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Alzheimer disease,Alzheimer disease,G30,55-64,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Alzheimer disease,Alzheimer disease,G30,65-74,13,
8/30/2020,2/1/2020,8/29/2020,AZ,Alzheimer disease,Alzheimer disease,G30,75-84,44,
8/30/2020,2/1/2020,8/29/2020,AZ,Alzheimer disease,Alzheimer disease,G30,85+,121,
8/30/2020,2/1/2020,8/29/2020,AZ,Alzheimer disease,Alzheimer disease,G30,Not stated,,Counts less than 10 suppressed.
8/30/2020,2/1/2020,8/29/2020,AZ,Alzheimer disease,Alzheimer disease,G30,All ages,178,
